acidos,aire,amargos,arroz,cerdo,dulces,exotica,frito,jugosa,mariscos,picante,salada,sopas,te,vegetariana,class
No,Si,No,No,No,Si,No,Si,No,Si,Si,Si,Si,Si,No,mexicana
No,No,No,No,No,Si,No,Si,Si,No,Si,No,Si,No,No,mexicana
No,No,No,No,Si,Si,No,No,Si,No,No,No,No,No,No,mexicana
Si,Si,No,No,Si,Si,No,Si,Si,No,No,No,Si,No,No,mexicana
Si,No,No,Si,No,Si,No,Si,No,Si,Si,Si,Si,No,No,mexicana
No,No,No,No,No,Si,No,No,Si,No,No,No,Si,No,No,mexicana
No,No,No,No,No,Si,No,Si,No,No,Si,No,No,No,No,mexicana
No,No,Si,No,Si,Si,Si,Si,Si,No,Si,No,Si,No,No,mexicana
No,Si,Si,Si,Si,Si,No,Si,No,No,No,No,Si,No,No,mexicana
No,No,No,Si,Si,Si,No,No,No,Si,Si,Si,Si,No,No,mexicana
Si,No,No,Si,No,Si,No,No,Si,Si,No,No,No,No,No,mexicana
No,Si,No,No,Si,No,No,Si,Si,No,Si,No,No,No,No,mexicana
No,Si,No,No,Si,No,No,Si,Si,No,Si,Si,No,No,No,mexicana
No,No,No,No,Si,Si,No,No,No,Si,No,No,Si,No,No,mexicana
Si,No,No,No,Si,No,No,Si,No,Si,Si,No,No,No,No,mexicana
Si,No,No,No,No,Si,No,Si,No,Si,Si,Si,No,No,No,mexicana
No,No,No,No,No,Si,No,Si,Si,No,Si,No,No,No,No,mexicana
Si,Si,Si,Si,Si,Si,No,No,No,No,Si,No,No,No,No,mexicana
No,No,Si,No,No,Si,Si,Si,Si,No,Si,Si,No,No,No,mexicana
No,Si,Si,No,Si,No,No,No,No,No,No,Si,No,No,No,mexicana
No,No,Si,No,No,Si,No,Si,No,No,Si,Si,No,No,No,mexicana
No,Si,Si,No,Si,Si,No,No,No,No,Si,No,Si,No,No,mexicana
Si,Si,No,No,Si,No,No,No,No,No,Si,No,Si,No,No,mexicana
No,No,No,No,Si,Si,No,Si,No,No,No,No,Si,No,No,mexicana
No,No,No,Si,Si,Si,No,Si,No,Si,No,Si,Si,No,No,mexicana
Si,No,No,No,No,Si,No,Si,No,No,Si,Si,Si,No,No,mexicana
No,Si,Si,No,No,Si,No,Si,No,Si,Si,No,Si,No,No,mexicana
Si,No,No,No,Si,Si,No,Si,No,Si,Si,Si,Si,No,No,mexicana
No,Si,No,No,Si,Si,No,Si,No,Si,No,No,Si,Si,No,mexicana
Si,No,No,No,No,Si,No,No,No,No,Si,Si,Si,No,No,mexicana
No,Si,No,No,Si,Si,No,No,No,No,Si,No,Si,No,No,mexicana
Si,No,Si,No,No,No,No,Si,Si,No,Si,Si,No,Si,No,mexicana
